provider;imsi;pin;cert
84NSI;1000000000000083;1194;THIS IS MY CERT 1000000000000083
85NSI;1000000000000084;1195;THIS IS MY CERT 1000000000000084
86NSI;1000000000000085;1196;THIS IS MY CERT 1000000000000085
87NSI;1000000000000086;1197;THIS IS MY CERT 1000000000000086
88NSI;1000000000000087;1198;THIS IS MY CERT 1000000000000087
89NSI;1000000000000088;1199;THIS IS MY CERT 1000000000000088
90NSI;1000000000000089;1200;THIS IS MY CERT 1000000000000089
91NSI;1000000000000090;1201;THIS IS MY CERT 1000000000000090
92NSI;1000000000000091;1202;THIS IS MY CERT 1000000000000091
93NSI;1000000000000092;1203;THIS IS MY CERT 1000000000000092
94NSI;1000000000000093;1204;THIS IS MY CERT 1000000000000093
95NSI;1000000000000094;1205;THIS IS MY CERT 1000000000000094
96NSI;1000000000000095;1206;THIS IS MY CERT 1000000000000095
97NSI;1000000000000096;1207;THIS IS MY CERT 1000000000000096
98NSI;1000000000000097;1208;THIS IS MY CERT 1000000000000097
99NSI;1000000000000098;1209;THIS IS MY CERT 1000000000000098
100NSI;1000000000000099;1210;THIS IS MY CERT 1000000000000099
101NSI;1000000000000100;1211;THIS IS MY CERT 1000000000000100
102NSI;1000000000000101;1212;THIS IS MY CERT 1000000000000101
103NSI;1000000000000102;1213;THIS IS MY CERT 1000000000000102
104NSI;1000000000000103;1214;THIS IS MY CERT 1000000000000103
105NSI;1000000000000104;1215;THIS IS MY CERT 1000000000000104
106NSI;1000000000000105;1216;THIS IS MY CERT 1000000000000105
107NSI;1000000000000106;1217;THIS IS MY CERT 1000000000000106
108NSI;1000000000000107;1218;THIS IS MY CERT 1000000000000107
109NSI;1000000000000108;1219;THIS IS MY CERT 1000000000000108
110NSI;1000000000000109;1220;THIS IS MY CERT 1000000000000109
111NSI;1000000000000110;1221;THIS IS MY CERT 1000000000000110
112NSI;1000000000000111;1222;THIS IS MY CERT 1000000000000111
113NSI;1000000000000112;1223;THIS IS MY CERT 1000000000000112
114NSI;1000000000000113;1224;THIS IS MY CERT 1000000000000113
115NSI;1000000000000114;1225;THIS IS MY CERT 1000000000000114
116NSI;1000000000000115;1226;THIS IS MY CERT 1000000000000115
117NSI;1000000000000116;1227;THIS IS MY CERT 1000000000000116
118NSI;1000000000000117;1228;THIS IS MY CERT 1000000000000117
119NSI;1000000000000118;1229;THIS IS MY CERT 1000000000000118
120NSI;1000000000000119;1230;THIS IS MY CERT 1000000000000119
121NSI;1000000000000120;1231;THIS IS MY CERT 1000000000000120
122NSI;1000000000000121;1232;THIS IS MY CERT 1000000000000121
123NSI;1000000000000122;1233;THIS IS MY CERT 1000000000000122
124NSI;1000000000000123;1234;THIS IS MY CERT 1000000000000123
125NSI;1000000000000124;1235;THIS IS MY CERT 1000000000000124
126NSI;1000000000000125;1236;THIS IS MY CERT 1000000000000125
127NSI;1000000000000126;1237;THIS IS MY CERT 1000000000000126
128NSI;1000000000000127;1238;THIS IS MY CERT 1000000000000127
129NSI;1000000000000128;1239;THIS IS MY CERT 1000000000000128
130NSI;1000000000000129;1240;THIS IS MY CERT 1000000000000129
131NSI;1000000000000130;1241;THIS IS MY CERT 1000000000000130
132NSI;1000000000000131;1242;THIS IS MY CERT 1000000000000131
133NSI;1000000000000132;1243;THIS IS MY CERT 1000000000000132
134NSI;1000000000000133;1244;THIS IS MY CERT 1000000000000133
135NSI;1000000000000134;1245;THIS IS MY CERT 1000000000000134
136NSI;1000000000000135;1246;THIS IS MY CERT 1000000000000135
137NSI;1000000000000136;1247;THIS IS MY CERT 1000000000000136
138NSI;1000000000000137;1248;THIS IS MY CERT 1000000000000137
139NSI;1000000000000138;1249;THIS IS MY CERT 1000000000000138
140NSI;1000000000000139;1250;THIS IS MY CERT 1000000000000139
141NSI;1000000000000140;1251;THIS IS MY CERT 1000000000000140
142NSI;1000000000000141;1252;THIS IS MY CERT 1000000000000141
143NSI;1000000000000142;1253;THIS IS MY CERT 1000000000000142
144NSI;1000000000000143;1254;THIS IS MY CERT 1000000000000143
145NSI;1000000000000144;1255;THIS IS MY CERT 1000000000000144
146NSI;1000000000000145;1256;THIS IS MY CERT 1000000000000145
147NSI;1000000000000146;1257;THIS IS MY CERT 1000000000000146
148NSI;1000000000000147;1258;THIS IS MY CERT 1000000000000147
149NSI;1000000000000148;1259;THIS IS MY CERT 1000000000000148
150NSI;1000000000000149;1260;THIS IS MY CERT 1000000000000149
151NSI;1000000000000150;1261;THIS IS MY CERT 1000000000000150
152NSI;1000000000000151;1262;THIS IS MY CERT 1000000000000151
153NSI;1000000000000152;1263;THIS IS MY CERT 1000000000000152
154NSI;1000000000000153;1264;THIS IS MY CERT 1000000000000153
155NSI;1000000000000154;1265;THIS IS MY CERT 1000000000000154
156NSI;1000000000000155;1266;THIS IS MY CERT 1000000000000155
157NSI;1000000000000156;1267;THIS IS MY CERT 1000000000000156
158NSI;1000000000000157;1268;THIS IS MY CERT 1000000000000157
159NSI;1000000000000158;1269;THIS IS MY CERT 1000000000000158
160NSI;1000000000000159;1270;THIS IS MY CERT 1000000000000159
161NSI;1000000000000160;1271;THIS IS MY CERT 1000000000000160
162NSI;1000000000000161;1272;THIS IS MY CERT 1000000000000161
163NSI;1000000000000162;1273;THIS IS MY CERT 1000000000000162
164NSI;1000000000000163;1274;THIS IS MY CERT 1000000000000163
165NSI;1000000000000164;1275;THIS IS MY CERT 1000000000000164
166NSI;1000000000000165;1276;THIS IS MY CERT 1000000000000165
167NSI;1000000000000166;1277;THIS IS MY CERT 1000000000000166
168NSI;1000000000000167;1278;THIS IS MY CERT 1000000000000167
169NSI;1000000000000168;1279;THIS IS MY CERT 1000000000000168
170NSI;1000000000000169;1280;THIS IS MY CERT 1000000000000169
171NSI;1000000000000170;1281;THIS IS MY CERT 1000000000000170
172NSI;1000000000000171;1282;THIS IS MY CERT 1000000000000171
173NSI;1000000000000172;1283;THIS IS MY CERT 1000000000000172
174NSI;1000000000000173;1284;THIS IS MY CERT 1000000000000173
175NSI;1000000000000174;1285;THIS IS MY CERT 1000000000000174
176NSI;1000000000000175;1286;THIS IS MY CERT 1000000000000175
177NSI;1000000000000176;1287;THIS IS MY CERT 1000000000000176
178NSI;1000000000000177;1288;THIS IS MY CERT 1000000000000177
179NSI;1000000000000178;1289;THIS IS MY CERT 1000000000000178
180NSI;1000000000000179;1290;THIS IS MY CERT 1000000000000179
181NSI;1000000000000180;1291;THIS IS MY CERT 1000000000000180
182NSI;1000000000000181;1292;THIS IS MY CERT 1000000000000181
183NSI;1000000000000182;1293;THIS IS MY CERT 1000000000000182
184NSI;1000000000000183;1294;THIS IS MY CERT 1000000000000183
185NSI;1000000000000184;1295;THIS IS MY CERT 1000000000000184
186NSI;1000000000000185;1296;THIS IS MY CERT 1000000000000185
187NSI;1000000000000186;1297;THIS IS MY CERT 1000000000000186
188NSI;1000000000000187;1298;THIS IS MY CERT 1000000000000187
189NSI;1000000000000188;1299;THIS IS MY CERT 1000000000000188
190NSI;1000000000000189;1300;THIS IS MY CERT 1000000000000189
191NSI;1000000000000190;1301;THIS IS MY CERT 1000000000000190
192NSI;1000000000000191;1302;THIS IS MY CERT 1000000000000191
193NSI;1000000000000192;1303;THIS IS MY CERT 1000000000000192
194NSI;1000000000000193;1304;THIS IS MY CERT 1000000000000193
195NSI;1000000000000194;1305;THIS IS MY CERT 1000000000000194
196NSI;1000000000000195;1306;THIS IS MY CERT 1000000000000195
197NSI;1000000000000196;1307;THIS IS MY CERT 1000000000000196
198NSI;1000000000000197;1308;THIS IS MY CERT 1000000000000197
199NSI;1000000000000198;1309;THIS IS MY CERT 1000000000000198
200NSI;1000000000000199;1310;THIS IS MY CERT 1000000000000199
201NSI;1000000000000200;1311;THIS IS MY CERT 1000000000000200
202NSI;1000000000000201;1312;THIS IS MY CERT 1000000000000201
203NSI;1000000000000202;1313;THIS IS MY CERT 1000000000000202
204NSI;1000000000000203;1314;THIS IS MY CERT 1000000000000203
205NSI;1000000000000204;1315;THIS IS MY CERT 1000000000000204
206NSI;1000000000000205;1316;THIS IS MY CERT 1000000000000205
207NSI;1000000000000206;1317;THIS IS MY CERT 1000000000000206
208NSI;1000000000000207;1318;THIS IS MY CERT 1000000000000207
209NSI;1000000000000208;1319;THIS IS MY CERT 1000000000000208
210NSI;1000000000000209;1320;THIS IS MY CERT 1000000000000209
211NSI;1000000000000210;1321;THIS IS MY CERT 1000000000000210
212NSI;1000000000000211;1322;THIS IS MY CERT 1000000000000211
213NSI;1000000000000212;1323;THIS IS MY CERT 1000000000000212
214NSI;1000000000000213;1324;THIS IS MY CERT 1000000000000213
215NSI;1000000000000214;1325;THIS IS MY CERT 1000000000000214
216NSI;1000000000000215;1326;THIS IS MY CERT 1000000000000215
217NSI;1000000000000216;1327;THIS IS MY CERT 1000000000000216
218NSI;1000000000000217;1328;THIS IS MY CERT 1000000000000217
219NSI;1000000000000218;1329;THIS IS MY CERT 1000000000000218
220NSI;1000000000000219;1330;THIS IS MY CERT 1000000000000219
221NSI;1000000000000220;1331;THIS IS MY CERT 1000000000000220
222NSI;1000000000000221;1332;THIS IS MY CERT 1000000000000221
223NSI;1000000000000222;1333;THIS IS MY CERT 1000000000000222
224NSI;1000000000000223;1334;THIS IS MY CERT 1000000000000223
225NSI;1000000000000224;1335;THIS IS MY CERT 1000000000000224
226NSI;1000000000000225;1336;THIS IS MY CERT 1000000000000225
227NSI;1000000000000226;1337;THIS IS MY CERT 1000000000000226
228NSI;1000000000000227;1338;THIS IS MY CERT 1000000000000227
229NSI;1000000000000228;1339;THIS IS MY CERT 1000000000000228
230NSI;1000000000000229;1340;THIS IS MY CERT 1000000000000229
231NSI;1000000000000230;1341;THIS IS MY CERT 1000000000000230
232NSI;1000000000000231;1342;THIS IS MY CERT 1000000000000231
233NSI;1000000000000232;1343;THIS IS MY CERT 1000000000000232
234NSI;1000000000000233;1344;THIS IS MY CERT 1000000000000233
235NSI;1000000000000234;1345;THIS IS MY CERT 1000000000000234
236NSI;1000000000000235;1346;THIS IS MY CERT 1000000000000235
237NSI;1000000000000236;1347;THIS IS MY CERT 1000000000000236
238NSI;1000000000000237;1348;THIS IS MY CERT 1000000000000237
239NSI;1000000000000238;1349;THIS IS MY CERT 1000000000000238
240NSI;1000000000000239;1350;THIS IS MY CERT 1000000000000239
241NSI;1000000000000240;1351;THIS IS MY CERT 1000000000000240
242NSI;1000000000000241;1352;THIS IS MY CERT 1000000000000241
243NSI;1000000000000242;1353;THIS IS MY CERT 1000000000000242
244NSI;1000000000000243;1354;THIS IS MY CERT 1000000000000243
245NSI;1000000000000244;1355;THIS IS MY CERT 1000000000000244
246NSI;1000000000000245;1356;THIS IS MY CERT 1000000000000245
247NSI;1000000000000246;1357;THIS IS MY CERT 1000000000000246
248NSI;1000000000000247;1358;THIS IS MY CERT 1000000000000247
249NSI;1000000000000248;1359;THIS IS MY CERT 1000000000000248
250NSI;1000000000000249;1360;THIS IS MY CERT 1000000000000249
251NSI;1000000000000250;1361;THIS IS MY CERT 1000000000000250
252NSI;1000000000000251;1362;THIS IS MY CERT 1000000000000251
253NSI;1000000000000252;1363;THIS IS MY CERT 1000000000000252
254NSI;1000000000000253;1364;THIS IS MY CERT 1000000000000253
255NSI;1000000000000254;1365;THIS IS MY CERT 1000000000000254
256NSI;1000000000000255;1366;THIS IS MY CERT 1000000000000255
257NSI;1000000000000256;1367;THIS IS MY CERT 1000000000000256
258NSI;1000000000000257;1368;THIS IS MY CERT 1000000000000257
259NSI;1000000000000258;1369;THIS IS MY CERT 1000000000000258
260NSI;1000000000000259;1370;THIS IS MY CERT 1000000000000259
261NSI;1000000000000260;1371;THIS IS MY CERT 1000000000000260
262NSI;1000000000000261;1372;THIS IS MY CERT 1000000000000261
263NSI;1000000000000262;1373;THIS IS MY CERT 1000000000000262
264NSI;1000000000000263;1374;THIS IS MY CERT 1000000000000263
265NSI;1000000000000264;1375;THIS IS MY CERT 1000000000000264
266NSI;1000000000000265;1376;THIS IS MY CERT 1000000000000265
267NSI;1000000000000266;1377;THIS IS MY CERT 1000000000000266
268NSI;1000000000000267;1378;THIS IS MY CERT 1000000000000267
269NSI;1000000000000268;1379;THIS IS MY CERT 1000000000000268
270NSI;1000000000000269;1380;THIS IS MY CERT 1000000000000269
271NSI;1000000000000270;1381;THIS IS MY CERT 1000000000000270
272NSI;1000000000000271;1382;THIS IS MY CERT 1000000000000271
273NSI;1000000000000272;1383;THIS IS MY CERT 1000000000000272
274NSI;1000000000000273;1384;THIS IS MY CERT 1000000000000273
275NSI;1000000000000274;1385;THIS IS MY CERT 1000000000000274
276NSI;1000000000000275;1386;THIS IS MY CERT 1000000000000275
277NSI;1000000000000276;1387;THIS IS MY CERT 1000000000000276
278NSI;1000000000000277;1388;THIS IS MY CERT 1000000000000277
279NSI;1000000000000278;1389;THIS IS MY CERT 1000000000000278
280NSI;1000000000000279;1390;THIS IS MY CERT 1000000000000279
281NSI;1000000000000280;1391;THIS IS MY CERT 1000000000000280
282NSI;1000000000000281;1392;THIS IS MY CERT 1000000000000281
283NSI;1000000000000282;1393;THIS IS MY CERT 1000000000000282
284NSI;1000000000000283;1394;THIS IS MY CERT 1000000000000283
285NSI;1000000000000284;1395;THIS IS MY CERT 1000000000000284
286NSI;1000000000000285;1396;THIS IS MY CERT 1000000000000285
287NSI;1000000000000286;1397;THIS IS MY CERT 1000000000000286
288NSI;1000000000000287;1398;THIS IS MY CERT 1000000000000287
289NSI;1000000000000288;1399;THIS IS MY CERT 1000000000000288
290NSI;1000000000000289;1400;THIS IS MY CERT 1000000000000289
291NSI;1000000000000290;1401;THIS IS MY CERT 1000000000000290
292NSI;1000000000000291;1402;THIS IS MY CERT 1000000000000291
293NSI;1000000000000292;1403;THIS IS MY CERT 1000000000000292
294NSI;1000000000000293;1404;THIS IS MY CERT 1000000000000293
295NSI;1000000000000294;1405;THIS IS MY CERT 1000000000000294
296NSI;1000000000000295;1406;THIS IS MY CERT 1000000000000295
297NSI;1000000000000296;1407;THIS IS MY CERT 1000000000000296
298NSI;1000000000000297;1408;THIS IS MY CERT 1000000000000297
299NSI;1000000000000298;1409;THIS IS MY CERT 1000000000000298
300NSI;1000000000000299;1410;THIS IS MY CERT 1000000000000299
301NSI;1000000000000300;1411;THIS IS MY CERT 1000000000000300
302NSI;1000000000000301;1412;THIS IS MY CERT 1000000000000301
303NSI;1000000000000302;1413;THIS IS MY CERT 1000000000000302
304NSI;1000000000000303;1414;THIS IS MY CERT 1000000000000303
305NSI;1000000000000304;1415;THIS IS MY CERT 1000000000000304
306NSI;1000000000000305;1416;THIS IS MY CERT 1000000000000305
307NSI;1000000000000306;1417;THIS IS MY CERT 1000000000000306
308NSI;1000000000000307;1418;THIS IS MY CERT 1000000000000307
309NSI;1000000000000308;1419;THIS IS MY CERT 1000000000000308
310NSI;1000000000000309;1420;THIS IS MY CERT 1000000000000309
311NSI;1000000000000310;1421;THIS IS MY CERT 1000000000000310
312NSI;1000000000000311;1422;THIS IS MY CERT 1000000000000311
313NSI;1000000000000312;1423;THIS IS MY CERT 1000000000000312
314NSI;1000000000000313;1424;THIS IS MY CERT 1000000000000313
315NSI;1000000000000314;1425;THIS IS MY CERT 1000000000000314
316NSI;1000000000000315;1426;THIS IS MY CERT 1000000000000315
317NSI;1000000000000316;1427;THIS IS MY CERT 1000000000000316
318NSI;1000000000000317;1428;THIS IS MY CERT 1000000000000317
319NSI;1000000000000318;1429;THIS IS MY CERT 1000000000000318
320NSI;1000000000000319;1430;THIS IS MY CERT 1000000000000319
321NSI;1000000000000320;1431;THIS IS MY CERT 1000000000000320
322NSI;1000000000000321;1432;THIS IS MY CERT 1000000000000321
323NSI;1000000000000322;1433;THIS IS MY CERT 1000000000000322
324NSI;1000000000000323;1434;THIS IS MY CERT 1000000000000323
325NSI;1000000000000324;1435;THIS IS MY CERT 1000000000000324
326NSI;1000000000000325;1436;THIS IS MY CERT 1000000000000325
327NSI;1000000000000326;1437;THIS IS MY CERT 1000000000000326
328NSI;1000000000000327;1438;THIS IS MY CERT 1000000000000327
329NSI;1000000000000328;1439;THIS IS MY CERT 1000000000000328
330NSI;1000000000000329;1440;THIS IS MY CERT 1000000000000329
331NSI;1000000000000330;1441;THIS IS MY CERT 1000000000000330
332NSI;1000000000000331;1442;THIS IS MY CERT 1000000000000331
333NSI;1000000000000332;1443;THIS IS MY CERT 1000000000000332
334NSI;1000000000000333;1444;THIS IS MY CERT 1000000000000333
335NSI;1000000000000334;1445;THIS IS MY CERT 1000000000000334
336NSI;1000000000000335;1446;THIS IS MY CERT 1000000000000335
337NSI;1000000000000336;1447;THIS IS MY CERT 1000000000000336
338NSI;1000000000000337;1448;THIS IS MY CERT 1000000000000337
339NSI;1000000000000338;1449;THIS IS MY CERT 1000000000000338
340NSI;1000000000000339;1450;THIS IS MY CERT 1000000000000339
341NSI;1000000000000340;1451;THIS IS MY CERT 1000000000000340
342NSI;1000000000000341;1452;THIS IS MY CERT 1000000000000341
343NSI;1000000000000342;1453;THIS IS MY CERT 1000000000000342
344NSI;1000000000000343;1454;THIS IS MY CERT 1000000000000343
345NSI;1000000000000344;1455;THIS IS MY CERT 1000000000000344
346NSI;1000000000000345;1456;THIS IS MY CERT 1000000000000345
347NSI;1000000000000346;1457;THIS IS MY CERT 1000000000000346
348NSI;1000000000000347;1458;THIS IS MY CERT 1000000000000347
349NSI;1000000000000348;1459;THIS IS MY CERT 1000000000000348
350NSI;1000000000000349;1460;THIS IS MY CERT 1000000000000349
351NSI;1000000000000350;1461;THIS IS MY CERT 1000000000000350
352NSI;1000000000000351;1462;THIS IS MY CERT 1000000000000351
353NSI;1000000000000352;1463;THIS IS MY CERT 1000000000000352
354NSI;1000000000000353;1464;THIS IS MY CERT 1000000000000353
355NSI;1000000000000354;1465;THIS IS MY CERT 1000000000000354
356NSI;1000000000000355;1466;THIS IS MY CERT 1000000000000355
357NSI;1000000000000356;1467;THIS IS MY CERT 1000000000000356
358NSI;1000000000000357;1468;THIS IS MY CERT 1000000000000357
359NSI;1000000000000358;1469;THIS IS MY CERT 1000000000000358
360NSI;1000000000000359;1470;THIS IS MY CERT 1000000000000359
361NSI;1000000000000360;1471;THIS IS MY CERT 1000000000000360
362NSI;1000000000000361;1472;THIS IS MY CERT 1000000000000361
363NSI;1000000000000362;1473;THIS IS MY CERT 1000000000000362
364NSI;1000000000000363;1474;THIS IS MY CERT 1000000000000363
365NSI;1000000000000364;1475;THIS IS MY CERT 1000000000000364
366NSI;1000000000000365;1476;THIS IS MY CERT 1000000000000365
367NSI;1000000000000366;1477;THIS IS MY CERT 1000000000000366
368NSI;1000000000000367;1478;THIS IS MY CERT 1000000000000367
369NSI;1000000000000368;1479;THIS IS MY CERT 1000000000000368
370NSI;1000000000000369;1480;THIS IS MY CERT 1000000000000369
371NSI;1000000000000370;1481;THIS IS MY CERT 1000000000000370
372NSI;1000000000000371;1482;THIS IS MY CERT 1000000000000371
373NSI;1000000000000372;1483;THIS IS MY CERT 1000000000000372
374NSI;1000000000000373;1484;THIS IS MY CERT 1000000000000373
375NSI;1000000000000374;1485;THIS IS MY CERT 1000000000000374
376NSI;1000000000000375;1486;THIS IS MY CERT 1000000000000375
377NSI;1000000000000376;1487;THIS IS MY CERT 1000000000000376
378NSI;1000000000000377;1488;THIS IS MY CERT 1000000000000377
379NSI;1000000000000378;1489;THIS IS MY CERT 1000000000000378
380NSI;1000000000000379;1490;THIS IS MY CERT 1000000000000379
381NSI;1000000000000380;1491;THIS IS MY CERT 1000000000000380
382NSI;1000000000000381;1492;THIS IS MY CERT 1000000000000381
383NSI;1000000000000382;1493;THIS IS MY CERT 1000000000000382
384NSI;1000000000000383;1494;THIS IS MY CERT 1000000000000383
385NSI;1000000000000384;1495;THIS IS MY CERT 1000000000000384
386NSI;1000000000000385;1496;THIS IS MY CERT 1000000000000385
387NSI;1000000000000386;1497;THIS IS MY CERT 1000000000000386
388NSI;1000000000000387;1498;THIS IS MY CERT 1000000000000387
389NSI;1000000000000388;1499;THIS IS MY CERT 1000000000000388
390NSI;1000000000000389;1500;THIS IS MY CERT 1000000000000389
391NSI;1000000000000390;1501;THIS IS MY CERT 1000000000000390
392NSI;1000000000000391;1502;THIS IS MY CERT 1000000000000391
393NSI;1000000000000392;1503;THIS IS MY CERT 1000000000000392
394NSI;1000000000000393;1504;THIS IS MY CERT 1000000000000393
395NSI;1000000000000394;1505;THIS IS MY CERT 1000000000000394
396NSI;1000000000000395;1506;THIS IS MY CERT 1000000000000395
397NSI;1000000000000396;1507;THIS IS MY CERT 1000000000000396
398NSI;1000000000000397;1508;THIS IS MY CERT 1000000000000397
399NSI;1000000000000398;1509;THIS IS MY CERT 1000000000000398
400NSI;1000000000000399;1510;THIS IS MY CERT 1000000000000399
401NSI;1000000000000400;1511;THIS IS MY CERT 1000000000000400
402NSI;1000000000000401;1512;THIS IS MY CERT 1000000000000401
403NSI;1000000000000402;1513;THIS IS MY CERT 1000000000000402
404NSI;1000000000000403;1514;THIS IS MY CERT 1000000000000403
405NSI;1000000000000404;1515;THIS IS MY CERT 1000000000000404
406NSI;1000000000000405;1516;THIS IS MY CERT 1000000000000405
407NSI;1000000000000406;1517;THIS IS MY CERT 1000000000000406
408NSI;1000000000000407;1518;THIS IS MY CERT 1000000000000407
409NSI;1000000000000408;1519;THIS IS MY CERT 1000000000000408
410NSI;1000000000000409;1520;THIS IS MY CERT 1000000000000409
411NSI;1000000000000410;1521;THIS IS MY CERT 1000000000000410
412NSI;1000000000000411;1522;THIS IS MY CERT 1000000000000411
413NSI;1000000000000412;1523;THIS IS MY CERT 1000000000000412
414NSI;1000000000000413;1524;THIS IS MY CERT 1000000000000413
415NSI;1000000000000414;1525;THIS IS MY CERT 1000000000000414
416NSI;1000000000000415;1526;THIS IS MY CERT 1000000000000415
417NSI;1000000000000416;1527;THIS IS MY CERT 1000000000000416
418NSI;1000000000000417;1528;THIS IS MY CERT 1000000000000417
419NSI;1000000000000418;1529;THIS IS MY CERT 1000000000000418
420NSI;1000000000000419;1530;THIS IS MY CERT 1000000000000419
421NSI;1000000000000420;1531;THIS IS MY CERT 1000000000000420
422NSI;1000000000000421;1532;THIS IS MY CERT 1000000000000421
423NSI;1000000000000422;1533;THIS IS MY CERT 1000000000000422
